src_id,relation,dst_id,graph_version
restaurant:25639,HAS_ITEM,menu_item:867944,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867945,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867946,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867947,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867948,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867949,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867950,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867951,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867952,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867953,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867954,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867955,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867956,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867957,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867958,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867959,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867960,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867961,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867962,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867963,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867964,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867965,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867966,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867967,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867968,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867969,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867970,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867971,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867972,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867973,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867974,kg_20260602_172448
restaurant:25639,HAS_ITEM,menu_item:867981,kg_20260602_172448
restaurant:97742,HAS_ITEM,menu_item:7670605,kg_20260602_172448
restaurant:97742,HAS_ITEM,menu_item:9050411,kg_20260602_172448
restaurant:97742,HAS_ITEM,menu_item:9050419,kg_20260602_172448
restaurant:97742,HAS_ITEM,menu_item:9050433,kg_20260602_172448
restaurant:97742,HAS_ITEM,menu_item:9050435,kg_20260602_172448
restaurant:97742,HAS_ITEM,menu_item:9050436,kg_20260602_172448
restaurant:97742,HAS_ITEM,menu_item:7670606,kg_20260602_172448
restaurant:97742,HAS_ITEM,menu_item:7670608,kg_20260602_172448
restaurant:97742,HAS_ITEM,menu_item:9050428,kg_20260602_172448
restaurant:97742,HAS_ITEM,menu_item:9050430,kg_20260602_172448
restaurant:97742,HAS_ITEM,menu_item:7670603,kg_20260602_172448
restaurant:97742,HAS_ITEM,menu_item:7670604,kg_20260602_172448
restaurant:97742,HAS_ITEM,menu_item:7670609,kg_20260602_172448
restaurant:97742,HAS_ITEM,menu_item:7670607,kg_20260602_172448
restaurant:130307,HAS_ITEM,menu_item:11563785,kg_20260602_172448
restaurant:130307,HAS_ITEM,menu_item:11563786,kg_20260602_172448
restaurant:130307,HAS_ITEM,menu_item:11563787,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513690,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513691,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513692,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513693,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513694,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513695,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513696,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513697,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513698,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513699,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513700,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513701,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513702,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513703,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513704,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513705,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513706,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513707,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513708,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513709,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513710,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513711,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513712,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513718,kg_20260602_172448
restaurant:22758,HAS_ITEM,menu_item:2513719,kg_20260602_172448
